Task overview
Score	Task	Name	Time limit	Memory limit	Type	Files
0 / 100	C2E17	Puyu Puyu (67-Exam1)	0.100 seconds	8.00 MiB	Batch	C2E17[.cpp|.c]
0 / 100	C2E18	Meet and Greet (67-Exam1)	0.100 seconds	8.00 MiB	Batch	C2E18[.cpp|.c]
0 / 100	C2E19	Bifinity Castle (67-Exam1)	0.100 seconds	8.00 MiB	Batch	C2E19[.cpp|.c]
0 / 100	C2E20	LN Book Club (67-Exam1)	0.200 seconds	8.00 MiB	Batch	C2E20[.cpp|.c]
100 / 100	C2Q002	ข้อสันนิษฐานของโกลด์บาค	1.000 second	8.00 MiB	Batch	C2Q002[.cpp|.c]
0 / 100	C2Q003	ลำดับแฟเรย์	1.000 second	666 MiB	Batch	C2Q003[.cpp|.c]
100 / 100	C2Q004	พายเรือข้ามคลอง	1.000 second	8.00 MiB	Batch	C2Q004[.cpp|.c]
0 / 100	C2Q005	ฟีโบนัชชีแบบมอดูลาร์	1.000 second	8.00 MiB	Batch	C2Q005[.cpp|.c]
100 / 100	C2P01	Container	0.010 seconds	2.00 MiB	Batch	C2P01[.cpp|.c]
100 / 100	C2P02	Lego	0.010 seconds	4.00 MiB	Batch	C2P02[.cpp|.c]
100 / 100	C2P03	Boxbang	1.000 second	4.00 MiB	Batch	C2P03[.cpp|.c]
0 / 100	C2P72	รายงานทางการเงิน	1.000 second	8.00 MiB	Batch	C2P72[.cpp|.c]
100 / 100	C2P93	Binary counter	1.000 second	8.00 MiB	Batch	C2P93[.cpp|.c]
100 / 100	C2P10	Insert in Order	1.000 second	8.00 MiB	Batch	C2P10[.cpp|.c]
100 / 100	C2P11	Insert at Index	1.000 second	8.00 MiB	Batch	C2P11[.cpp|.c]
0 / 100	C2P73	Reverse Range	1.000 second	8.00 MiB	Batch	C2P73[.cpp|.c]
0 / 100	C2P92	Zoo Tour	1.000 second	16.0 MiB	Batch	C2P92[.cpp|.c]
100 / 100	C2P04	Island	0.010 seconds	2.00 MiB	Batch	C2P04[.cpp|.c]
100 / 100	C2P05	Knight	0.010 seconds	2.00 MiB	Batch	C2P05[.cpp|.c]
100 / 100	C2P06	Booth	0.010 seconds	2.00 MiB	Batch	C2P06[.cpp|.c]
100 / 100	C2P07	Sort by Displacement	1.000 second	8.00 MiB	Batch	C2P07[.cpp|.c]
100 / 100	C2P08	A Hand of Slave	1.000 second	8.00 MiB	Batch	C2P08[.cpp|.c]
100 / 100	C2P09	Fan Meeting	1.000 second	64.0 MiB	Batch	C2P09[.cpp|.c]
0 / 100	C2T01	เล่นสวนสนุกแบบอึดอัด	1.000 second	256 MiB	Batch	C2T01[.cpp|.c]
100 / 100	C2P12	Set Operator	1.000 second	512 MiB	Batch	C2P12[.cpp|.c]
90 / 100	C2P13	Word Count	1.000 second	512 MiB	Batch	C2P13[.cpp|.c]
0 / 100	C2P14	Hash Table	1.000 second	512 MiB	Batch	C2P14[.cpp|.c]
0 / 100	C2T02	Hospital Work	1.000 second	64.0 MiB	Batch	C2T02[.cpp|.c]
100 / 100	C2P15	Pancake Flip	1.000 second	512 MiB	Batch	C2P15[.cpp|.c]
0 / 100	C2P16	Pancake Sort	1.500 seconds	512 MiB	Batch	C2P16[.cpp|.c]
0 / 100	C2P17	Pancake Dual	1.500 seconds	512 MiB	Batch	C2P17[.cpp|.c]
0 / 100	C2T03	Tower of Hanoi	1.000 second	256 MiB	Batch	C2T03[.cpp|.c]
0 / 100	C2P18	Portfolio	0.100 seconds	2.00 MiB	Batch	C2P18[.cpp|.c]
0 / 100	C2P19	Groupie	1.000 second	8.00 MiB	Batch	C2P19[.cpp|.c]
0 / 100	C2P20	Polynomial Addition	1.000 second	16.0 MiB	Batch	C2P20[.cpp|.c]
0 / 100	C2P21	Wizard Tournament	1.000 second	8.00 MiB	Batch	C2P21[.cpp|.c]
0 / 100	C2P22	Radix LSD	1.000 second	16.0 MiB	Batch	C2P22[.cpp|.c]
100 / 100	C2P23	BST Traveral	1.000 second	32.0 MiB	Batch	C2P23[.cpp|.c]
0 / 100	C2P24	BST Search	1.000 second	32.0 MiB	Batch	C2P24[.cpp|.c]
